Source,Target
127215,36917
158188,36926
330594,36926
339622,36926
118062,36953
300075,36997
144258,36999
339622,36999
330594,37016
330638,37016
330594,37075
158850,37116
123058,37182
314121,37182
330504,37218
339622,37218
314121,37243
330594,37243
330645,37243
339622,37243
342003,37243
339622,37258
322047,37336
314121,37387
330594,37400
330594,37476
330638,37476
339622,37481
339629,37481
339678,37481
69540,37520
158188,37520
330594,37520
339622,37520
66496,37551
330594,37567
330621,37567
169283,37675
330594,37675
330544,37675
330504,37676
330594,37676
330588,37676
284183,38079
330504,38079
330531,38079
339622,38079
1237,38083
330531,38083
339622,38083
63749,38099
275852,38099
302234,38099
330531,38099
339622,38099
342003,38099
158188,38129
330594,38129
330504,38133
339622,38133
158188,38137
330594,38137
339622,38149
123058,38207
339622,38307
118062,38314
339622,38343
339622,38346
339622,38440
339622,38627
330594,38632
275883,38654
330756,38654
339622,38654
63749,38766
330594,38766
338047,38766
339622,38834
158188,38882
330621,38882
275883,38896
339622,38896
111718,38979
314121,38979
319689,38979
157273,39313
251874,39313
19221,39358
314121,39374
330594,39422
330504,39497
339622,39497
122231,39510
283564,39510
309299,39510
330531,39510
330594,39510
339622,39510
148554,39514
339862,39547
158188,39548
190798,39548
330594,39548
19221,39565
66408,39742
158188,39742
315214,39742
330504,39742
330517,39742
330594,39742
330544,39742
330588,39742
6911,39743
339622,39743
330594,39760
330654,39760
39760,39762
39760,39778
39762,39778
330594,39778
330756,39796
339622,39808
339622,39812
158188,39818
330594,39818
262584,39821
339622,39821
330594,39831
158188,39840
330594,39840
339622,39843
339783,39843
340095,39843
340050,39843
348828,39863
330594,39874
339622,39874
330594,39881
342003,39881
330556,39883
333768,39912
333768,39913
339622,39952
123058,39982
123058,40020
87475,40057
158188,40057
233444,40058
330594,40058
330621,40058
19221,40386
19221,40387
330594,40548
330594,40641
339622,40657
158188,40745
180022,40764
158188,40891
330594,40891
339622,40900
201648,40996
302255,40996
314121,40996
201648,40999
302255,40999
314121,40999
201648,41021
302255,41021
314121,41021
66496,41171
283564,41237
13452,41288
6911,41290
96983,41290
242837,41290
336343,41290
339622,41322
97286,41554
339622,41554
333392,41672
158188,41723
314121,41723
330594,41723
26559,41733
26569,41733
330594,41744
41798,41745
158188,41758
330594,41758
314121,41767
330594,41798
63749,41822
275852,41822
339622,41822
342003,41822
339622,41826
342003,41826
314121,41852
6911,42057
336343,42057
339622,42057
339622,42127
42317,42267
158188,42282
330504,42282
330594,42282
330588,42282
330594,42317
158188,42350
42482,42463
342003,42463
330594,42466
307987,42482
158188,42503
330594,42503
330594,42564
330594,42565
330544,42565
330594,42702
330531,42758
339622,42758
158188,42760
342003,42771
330594,42849
330621,42849
129667,42895
144258,42895
275883,42895
330594,42895
330544,42895
330681,42895
333466,42895
336343,42895
66496,42978
339622,42987
339622,43013
8654,43096
66494,43149
66660,43149
330594,43149
330588,43149
330638,43149
158188,43244
330594,43244
266866,43259
339622,43259
66496,43293
283564,43339
275883,43378
66496,43451
339622,43454
340131,43454
158188,43559
330594,43559
275883,43744
339622,43744
339622,43749
339622,43752
19701,43899
330594,43902
19701,43918
158188,43993
330594,43993
330621,43993
330594,44073
339622,44085
330594,44402
330621,44402
339622,44407
342003,44407
123058,44472
251906,44472
276021,44472
302646,44472
314121,44472
330531,44472
339622,44472
63749,44574
111718,44574
275883,44574
302646,44574
330504,44574
339622,44574
342003,44574
357340,44574
192208,44683
26540,44685
26571,44685
47881,44685
123058,44685
158188,44685
314121,44685
330594,44685
330621,44685
330613,44685
309299,44704
339622,44731
111718,44739
339622,44739
339622,44760
26571,44764
330621,44764
339622,44764
342003,44764
302255,44789
339622,44798
63749,44811
275883,44811
302646,44811
322047,44811
339622,44811
342003,44811
63749,44850
275883,44850
302234,44850
302646,44850
322047,44850
339622,44850
339885,44850
342003,44850
357340,44850
339622,44934
255470,44945
255491,44945
319311,44980
330504,44980
339622,44980
357340,44980
178992,45047
45153,45050
45153,45055
45153,45057
330594,45104
330603,45104
330638,45104
339622,45104
33260,45111
319698,45122
180022,45232
339622,45394
330594,45572
66496,45605
330504,45629
339622,45629
307987,45632
314121,45632
339622,45632
342003,45632
365864,45644
307987,45645
314121,45645
339622,45645
342003,45645
339622,45669
302234,45670
339622,45670
339629,45670
342003,45670
275883,45684
275883,45684
339622,45684
339622,45684
342003,45684
342003,45684
339622,45702
339622,45708
144219,45728
222440,45728
302255,45728
339622,45728
357340,45728
358682,45728
63749,45742
275883,45742
314121,45742
339622,45742
342003,45742
339622,45986
6911,46019
275883,46019
275976,46019
301327,46019
339622,46019
357340,46019
227731,46154
330594,46425
339622,46494
180022,46516
66496,46600
66496,46680
123058,46884
314121,46884
319689,46884
339622,46895
342003,46895
87909,46899
330594,46899
330603,46899
339622,46899
354438,46932
339622,46998
9004,47087
97286,47087
339622,47087
330594,47102
202193,47167
251874,47182
146763,47413
330594,47439
365864,47456
339622,47695
339622,47704
199175,47745
199175,47747
302646,47780
339622,47780
342003,47780
47802,47801
339622,47801
221727,47809
275883,47809
339622,47809
275883,47868
339622,47868
123058,47883
123058,47908
47970,47950
330594,47970
185529,47975
87712,48015
283564,48015
330504,48015
330531,48015
330594,48063
97286,48094
339622,48094
339622,48119
144457,48142
97286,48164
339622,48164
367637,48164
339622,48214
275883,48284
339622,48284
357340,48284
123058,48332
87475,48458
158336,48458
330594,48548
330594,48585
342003,48603
330594,48734
330603,48734
339622,48734
339622,48825
123058,48829
220205,48829
302234,48829
339622,48829
342003,48829
314121,48838
368961,48855
330504,48858
339622,48858
342003,48858
330594,48887
330588,48887
158188,48903
330594,48906
330613,48906
330594,48951
