Id,Label,timeset,package name,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,eigencentrality,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,pageranks
178676,,,mead-audio8,0,0,0,0,2690,2,0,2,0,0.029723,0,0,2,0,2,0.000431
178677,,,mead-layers,2,0.6,0.666667,0,2690,1,1,2,0.5,0.043698,0.000257,0.000068,1,1,2,0.00015
178686,,,mead-baseline,1,1,1,28,2690,5,2,7,0.02381,0.064318,0.002576,0,5,2,7,0.000372
178832,,,mecv,0,0,0,0,1457,0,0,0,0,0,0,0,0,0,0,0.000147
178835,,,med2nlp,0,0,0,0,1458,0,0,0,0,0,0,0,0,0,0,0.000147
178992,,,mediapipe,1,1,1,0,2712,0,5,5,0,0,0,0.00181,0,5,5,0.000147
179044,,,medical-dl-utils,1,1,1,60.066667,2942,4,2,6,0.3,0.13859,0.027589,0.001398,4,2,6,0.000239
179046,,,medical-shape-building,0,0,0,0,2942,6,0,6,0.333333,0.160207,0.027678,0,6,0,6,0.000559
179050,,,medicalai,0,0,0,0,2690,2,0,2,0,0.001531,0.000703,0,2,0,2,0.000192
179051,,,medicaltorch,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
179054,,,medical-shape,1,1,1,0,2942,4,1,5,0.4,0.061121,0.025178,0.000732,4,1,5,0.000301
179063,,,med-imagetools,0,0,0,0,2942,2,0,2,0.5,0.001531,0.025064,0,2,0,2,0.000168
179067,,,medigan,0,0,0,0,1459,0,0,0,0,0,0,0,0,0,0,0.000147
179111,,,medmnist,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
179115,,,medpicpy,0,0,0,0,1460,0,0,0,0,0,0,0,0,0,0,0.000147
179253,,,megamind,0,0,0,0,1461,0,0,0,0,0,0,0,0,0,0,0.000147
179296,,,megengine,0,0,0,0,2695,1,0,1,0,0.000402,0.001007,0,1,0,1,0.000149
179303,,,megnet,1,1,1,1,2712,2,1,3,0.166667,0.066462,0.005489,0.000128,2,1,3,0.000149
179319,,,megatron-lm,0,0,0,0,788,1,0,1,0,0.000402,0.02497,0,1,0,1,0.000147
179340,,,meguru-tokenizer,0,0,0,0,450,4,0,4,0,0.043056,0.032185,0,4,0,4,0.000152
179606,,,memformer,0,0,0,0,788,2,0,2,0,0.000803,0.0278,0,2,0,2,0.000148
