Id,Label,timeset,package name,class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree,clustering,weighted indegree,weighted outdegree,Weighted Degree,Authority,Hub,eigencentrality,pageranks
341980,,,transformer-vae,0,0,0,0,0,4271,5,0,5,0,5,0,5,0.025076,0,0.294118,0.000085
341984,,,transformers-interpret,1,1,1,1,0,4271,0,2,2,0,0,2,2,0,0.000668,0,0.000077
341986,,,transformertopic,0,0,0,0,0,4271,1,0,1,0,1,0,1,0.000337,0,0.058824,0.000078
341993,,,transformstorm,0,0,0,0,0,4271,2,0,2,0,2,0,2,0.023472,0,0.117647,0.000077
341997,,,transforms-for-ndarray,0,0,0,0,0,4993,1,0,1,0,1,0,1,0.019386,0,0.058824,0.000077
341998,,,transformerslite,1,0,0,0,0,5290,0,0,0,0,0,0,0,0,0,0,0.000077
342003,,,transformers,1,1,1,1,0,4271,0,473,473,0,0,473,473,0,0.192515,0,0.000077
342006,,,transganformer,1,0,0,0,0,5291,0,0,0,0,0,0,0,0,0,0,0.000077
342019,,,transistor,0,0,0,0,0,4271,2,0,2,0,2,0,2,0.000002,0,0.117647,0.000083
342060,,,translate-api,1,0,0,0,0,5292,0,0,0,0,0,0,0,0,0,0,0.000077
342061,,,translatability,0,0,0,0,0,886,1,0,1,0,1,0,1,0.00001,0,0.058824,0.000084
342068,,,transfer-nlp,1,0,0,0,0,5293,0,0,0,0,0,0,0,0,0,0,0.000077
342077,,,translatehtml,0,0,0,0,0,177,1,0,1,0,1,0,1,0,0,0.058824,0.000086
342078,,,transformer-implementations,1,0,0,0,0,5294,0,0,0,0,0,0,0,0,0,0,0.000077
342081,,,translation-quality-estimator,0,0,0,0,0,4271,1,0,1,0,1,0,1,0.000337,0,0.058824,0.000078
342087,,,translation-gummy,1,1,1,1,0,229,0,1,1,0,0,1,1,0,0,0,0.000077
342091,,,transformer-korean,0,0,0,0,0,4654,2,0,2,0,2,0,2,0.006717,0,0.117647,0.000078
