Source,Target
11521,54137
161106,54137
275883,54137
365864,54137
314121,54174
330594,54174
330544,54174
330588,54174
330613,54174
330638,54174
330680,54174
342003,54174
330594,54311
319311,54314
330504,54314
266866,54323
339622,54323
37258,54357
330594,54357
339622,54357
129479,54439
339622,54439
158188,54501
322801,54502
322801,54506
158188,54514
339622,54514
330756,54534
339622,54615
314121,54618
161106,54647
275883,54647
336343,54647
339622,54647
339629,54647
340052,54647
340165,54647
357340,54647
288812,54681
339622,54745
314121,54859
314121,54860
63749,54930
330594,54930
123058,54954
330594,55195
158188,55284
330594,55284
333322,55284
158188,55524
330594,55524
330594,55546
330544,55546
330594,55656
158188,55668
330594,55668
330594,55672
19914,55694
339622,55783
339622,55810
300075,55935
330756,56097
283564,56271
129667,56302
33260,56322
339622,56341
339622,56387
229283,56407
330531,56407
339622,56407
339932,56407
275883,56457
339622,56457
66496,56581
295459,56736
330594,56751
330588,56751
330680,56751
342003,56751
228526,56790
302255,56790
342003,56790
339622,56849
330594,56857
248152,56859
339622,56869
158188,56876
330594,56876
322047,56903
322047,56927
19221,56941
330594,56941
275883,57242
330594,57242
339622,57242
357340,57242
330594,57251
8654,57269
8686,57269
314121,57269
339622,57269
339629,57269
342003,57341
158188,57342
330594,57342
158188,57523
221727,57555
330504,57555
339622,57555
330504,57866
330594,57866
339622,57929
330504,57931
339622,57931
342003,57931
123058,58375
314121,58375
123058,58516
228526,58601
330531,58859
26664,58866
63749,58866
342003,58866
158386,58902
330504,58902
330517,58902
330594,58902
330588,58902
330594,58904
339622,58905
339622,58940
339622,58971
330594,58993
339622,58998
340052,58998
339622,59007
330594,59030
330594,59030
339622,59034
339622,59060
339622,59072
330621,59078
330594,59081
330504,59100
339622,59100
118062,59111
322047,59147
339622,59461
100678,59490
330594,59818
178992,59846
330594,59911
26540,59996
330594,59996
330594,60041
87475,60089
314121,60124
330556,60129
178992,60181
330594,60183
221727,60190
221736,60190
330594,60190
339622,60190
178992,60196
6911,60244
221727,60278
111718,60314
255470,60355
255491,60355
339622,60394
342003,60394
330594,60464
19221,60465
33260,60484
33256,60484
118062,60507
158188,60515
330594,60515
158188,60517
330594,60517
118062,60537
330504,60567
339622,60567
314121,60573
330594,60589
158188,60602
330594,60602
364761,60602
66408,60660
295459,60733
339622,60839
117144,60845
183677,60992
330594,60992
221727,61075
330594,61075
333263,61075
94919,61079
318776,61087
339622,61103
339622,61115
202030,61116
339622,61128
61167,61160
302234,61187
339622,61187
342003,61187
61167,61215
302234,61267
314121,61267
342003,61318
123058,61323
276021,61323
314121,61323
323966,61323
333392,61323
339622,61323
342003,61323
158188,61381
330594,61381
339622,61577
342003,61577
330594,61614
158188,61630
330594,61630
339622,61647
97286,61657
342003,61657
357340,61657
330594,61797
158188,61802
330594,61802
8654,61818
111718,61818
123058,61818
314121,61818
339622,61818
342003,61818
339622,61845
223424,61852
339622,61852
340165,61852
158188,61887
330594,61887
191358,62034
295385,62034
330594,62081
309299,62111
322047,62248
322047,62262
322047,62301
118062,62436
330594,62504
66496,62514
118062,62643
322047,62721
339622,62808
339622,62816
87475,62840
66496,62846
66496,62891
330594,62898
330681,62898
66496,62900
123058,62923
283564,62923
330567,62977
320902,63223
228526,63237
140433,63247
302646,63247
314121,63247
66496,63257
123058,63384
123058,63522
314121,63522
123058,63533
314121,63533
66496,63553
314121,63596
314121,63599
314121,63604
314121,63606
330594,63652
339622,63652
314121,63685
158188,63693
330594,63693
314121,63694
123058,63702
307987,63702
330594,63702
342003,63702
330556,63709
330621,63709
330594,63737
339622,63743
63749,63751
180022,63756
339622,63896
339622,63946
339622,63947
330594,63948
330681,63948
330594,64080
330594,64086
142346,64168
339622,64168
123058,64423
314121,64423
330594,64430
283564,64524
123058,64727
339622,64727
314121,64787
330594,64787
342003,64787
24661,64983
339622,64983
180022,65053
322047,65105
158188,65206
330594,65206
66496,65219
339622,65265
342003,65265
330594,65271
330594,65320
339622,65442
275883,65491
330504,65491
339622,65491
66496,65571
314121,65585
275883,65611
339622,65611
339622,65696
56844,65705
125222,65705
330594,65705
330544,65705
330603,65705
330638,65705
339622,65716
339622,65751
275883,65967
339622,65967
340165,65967
143623,65972
158188,65972
330594,65972
221727,66012
339622,66012
339622,66018
339622,66335
330594,66345
314121,66356
339841,66358
123058,66361
158188,66361
330594,66361
63749,66363
144258,66380
158188,66380
330594,66380
163603,66385
202544,66385
24661,66396
202175,66396
158188,66397
330594,66397
221727,66405
330594,66413
330638,66413
275883,66414
330594,66414
339622,66414
158188,66415
275883,66419
339622,66419
358688,66419
8654,66444
330594,66444
339622,66444
330594,66455
221727,66456
346215,66458
330594,66466
158188,66468
330594,66468
225248,66469
158188,66489
330594,66489
158188,66497
330594,66497
339622,66505
339622,66509
123058,66514
339622,66514
357340,66529
161106,66534
222577,66534
275883,66534
158188,66538
330594,66538
323001,66541
339622,66541
6911,66564
275883,66564
339622,66564
158188,66566
330594,66566
6911,66572
275883,66572
339622,66572
330504,66579
330594,66579
158188,66586
330594,66590
123058,66593
302234,66593
314121,66593
330594,66593
333638,66593
330594,66613
330594,66617
157267,66618
330594,66618
330544,66618
339622,66619
339622,66633
302234,66638
330504,66638
339622,66638
342003,66638
144258,66639
330737,66639
161106,66657
187439,66657
275883,66657
339622,66657
339810,66657
339948,66669
339622,66671
290151,66681
330504,66681
339622,66681
144258,66693
158188,66693
330594,66693
339622,66693
339622,66710
340111,66710
357340,66710
330504,66711
339622,66715
275883,66733
302234,66733
339622,66733
342003,66733
339622,66734
342003,66734
275883,66736
330594,66742
330638,66742
302234,66752
302646,66752
330531,66752
338047,66752
342003,66752
357340,66752
330594,66759
123058,66765
339622,66765
275883,66788
302234,66788
339622,66788
342003,66788
158188,66794
275883,66797
275876,66797
295459,66797
339622,66797
357340,66797
357340,66810
330594,66819
339622,66820
6911,66822
23924,66822
161106,66822
330504,66832
330594,66832
339622,66832
339622,66836
66601,66855
339622,66857
330594,66867
338047,66867
341971,66867
330621,66869
339622,66869
158188,66871
330594,66871
330504,66880
330594,66880
330621,66894
323001,66898
339622,66898
161106,66900
342003,66900
123058,66906
330594,66906
330504,66915
339622,66915
330594,66928
253861,66947
330594,66947
330544,66947
330638,66947
339622,66948
6911,66959
23924,66959
339622,66959
357340,66959
158188,66965
330621,66965
158188,66976
330594,66976
69182,66979
69180,66979
339622,66979
330504,66981
339622,66981
330594,67074
330621,67074
339622,67132
339622,67166
342003,67166
111718,67214
314121,67214
339622,67214
231291,67231
330594,67328
225285,67365
330531,67365
339622,67365
283564,67390
330594,67392
339622,67426
180022,67517
158188,67548
330594,67548
314121,67604
155229,67642
339622,67642
339629,67642
158188,67654
330594,67654
180022,67676
158188,67686
330594,67686
158188,67713
330594,67728
339622,67734
330621,67778
106696,67792
330531,67792
357340,67792
118062,67934
158188,67953
330594,67953
66496,67966
275883,67983
339622,67983
30036,68019
275883,68040
339622,68040
8654,68155
199467,68155
314121,68155
330505,68155
330594,68155
330504,68261
330504,68261
339622,68261
339622,68261
333636,68342
330594,68346
314121,68362
339622,68417
330594,68449
339622,68466
339622,68649
314121,68801
318776,68859
87660,68880
339622,68883
255470,68907
255491,68907
97286,68910
275883,68910
339622,68910
